query,domain
What is the minimum attendance requirement?,STUDENT
How do I calculate my CGPA?,STUDENT
What are the library hours?,STUDENT
When is the next semester exam?,STUDENT
What is machine learning?,STUDENT
Explain artificial intelligence,STUDENT
How does a neural network work?,STUDENT
What is Python programming?,STUDENT
What is the grading system?,STUDENT
Who is the dean of our college?,STUDENT
What are the hostel rules?,STUDENT
How to apply for scholarship?,STUDENT
What is the syllabus for Data Structures?,STUDENT
When is the placement drive?,STUDENT
What is the campus wifi password?,STUDENT
How do I register for courses?,STUDENT
What is the attendance policy?,STUDENT
Explain object-oriented programming,STUDENT
What is the difference between AI and ML?,STUDENT
How do transformers work in NLP?,STUDENT
What is deep learning?,STUDENT
Explain supervised learning,STUDENT
What is a data structure?,STUDENT
How does binary search work?,STUDENT
What is time complexity?,STUDENT
Explain Big O notation,STUDENT
What is a linked list?,STUDENT
How does merge sort work?,STUDENT
What is dynamic programming?,STUDENT
Explain recursion with an example,STUDENT
What is a database?,STUDENT
What is SQL?,STUDENT
Explain normalization in databases,STUDENT
What is a primary key?,STUDENT
How does a hash table work?,STUDENT
What is cloud computing?,STUDENT
Explain microservices architecture,STUDENT
What is REST API?,STUDENT
How does HTTP work?,STUDENT
What is Git version control?,STUDENT
Explain the OSI model,STUDENT
What is TCP/IP?,STUDENT
How does DNS work?,STUDENT
What is computer networking?,STUDENT
Explain linear regression,STUDENT
What is gradient descent?,STUDENT
How does backpropagation work?,STUDENT
What is overfitting in ML?,STUDENT
Explain cross-validation,STUDENT
What is precision and recall?,STUDENT
How to calculate GPA?,STUDENT
What is the credit system?,STUDENT
When is the assignment deadline?,STUDENT
How to access online lectures?,STUDENT
What is the lab schedule?,STUDENT
How to join coding club?,STUDENT
What programming languages should I learn?,STUDENT
How to prepare for technical interviews?,STUDENT
What is DevOps?,STUDENT
Explain agile methodology,STUDENT
What is software testing?,STUDENT
How does encryption work?,STUDENT
What is cybersecurity?,STUDENT
Explain blockchain technology,STUDENT
What is blockchain and cryptocurrency?,STUDENT
How does bitcoin work?,STUDENT
What is quantum computing?,STUDENT
Explain theory of computation,STUDENT
What is a Turing machine?,STUDENT
How to solve NP-complete problems?,STUDENT
What is computational complexity?,STUDENT
Explain graph algorithms,STUDENT
What is Dijkstra's algorithm?,STUDENT
How does BFS work?,STUDENT
What is A* search algorithm?,STUDENT
Explain dynamic programming examples,STUDENT
What is memoization?,STUDENT
How to optimize algorithms?,STUDENT
What is multithreading?,STUDENT
Explain concurrency in programming,STUDENT
What is a mutex?,STUDENT
How does deadlock occur?,STUDENT
What is operating system?,STUDENT
Explain process scheduling,STUDENT
What is virtual memory?,STUDENT
How does pagination work?,STUDENT
What is compiler design?,STUDENT
Explain lexical analysis,STUDENT
What is parsing?,STUDENT
How does syntax analysis work?,STUDENT
What is computer graphics?,STUDENT
Explain rendering techniques,STUDENT
What is OpenGL?,STUDENT
How does 3D modeling work?,STUDENT
What is computer vision?,STUDENT
Explain image processing,STUDENT
How does edge detection work?,STUDENT
What is natural language processing?,STUDENT
Explain tokenization in NLP,STUDENT
What is sentiment analysis?,STUDENT
How does named entity recognition work?,STUDENT
